GEOID20,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
4019000226,1188,834,229,25,26,65,0,978,757,153,25,3,34,0,1245,848,262,35,33,64,13,1057,751,191,27,30,53,6,1057,751,191,19,39,8,4,0,45
4019000020,8125,1344,6036,435,847,125,0,5320,1314,3405,330,271,23,0,8182,1473,5532,716,796,131,24,6470,1359,4145,593,547,96,16,6470,1359,4145,522,49,290,5,14,86
4019000239,4680,3849,332,36,41,404,0,3880,3441,157,33,39,201,0,5017,3721,488,134,91,551,35,4293,3349,353,99,53,412,24,4293,3349,353,50,334,8,6,32,161
4019000061,2207,1641,240,61,78,222,0,1930,1513,239,35,54,100,0,2507,1897,326,55,17,190,3,2114,1667,232,46,10,133,3,2114,1667,232,37,125,0,2,14,37
4019000161,1076,878,137,19,7,32,0,979,898,92,0,3,9,0,931,735,148,7,28,16,1,820,670,111,3,23,12,0,820,670,111,2,6,3,0,8,20
4019000210,2815,2026,369,75,1,406,0,2011,1598,229,56,2,124,0,2777,1990,380,42,56,296,4,2321,1738,268,34,39,214,4,2321,1738,268,23,190,5,1,12,84
4019000001,2691,1381,1115,62,254,48,0,2290,1277,884,8,119,0,0,3039,1572,1104,53,361,73,7,2584,1451,864,36,251,60,6,2584,1451,864,22,50,133,3,7,54
4019000187,4987,4050,680,58,122,140,16,4162,3541,515,11,65,60,0,4614,3562,742,81,101,159,15,3913,3148,534,59,75,119,8,3913,3148,534,24,76,11,3,11,106
4019000093,3204,2051,829,77,60,199,44,2798,1822,668,65,49,136,0,3447,1968,937,248,209,161,28,2885,1762,708,180,164,128,13,2885,1762,708,122,87,40,5,16,145
4019000058,5264,2680,1472,399,270,478,129,4125,2441,1098,251,132,153,22,5854,3000,1855,435,363,351,25,4924,2726,1402,315,276,293,14,4924,2726,1402,247,204,96,10,25,214
4005000083,1824,1648,152,5,0,19,0,1700,1586,84,4,0,14,0,1743,1484,146,15,32,41,1,1665,1439,116,14,26,40,1,1665,1439,116,10,31,7,0,14,48
4019000143,1657,777,624,99,29,191,0,1331,756,424,21,13,109,0,1526,787,481,123,132,89,8,1316,733,369,90,99,74,4,1316,733,369,72,65,27,0,6,44
4013000255,8649,5203,2150,643,301,523,13,6402,3966,1417,513,258,298,0,8191,3951,2529,846,498,620,72,6407,3383,1724,596,330,486,49,6407,3383,1724,467,385,151,19,17,261
4013000109,4729,3315,540,390,94,444,36,3570,2716,359,225,53,129,0,4863,3431,614,294,108,423,19,3962,2878,460,199,83,336,12,3962,2878,460,157,285,30,0,23,129
4013000502,4431,1632,2092,642,188,157,46,3345,1415,1372,353,145,105,0,4251,1796,1592,487,248,168,63,3357,1594,1111,346,188,134,37,3357,1594,1111,295,106,112,26,30,83
4013000595,4707,3088,1147,146,139,252,9,3694,2482,853,105,91,147,0,5245,3368,1138,299,193,354,14,4085,2759,787,196,112,274,9,4085,2759,787,135,227,22,3,16,136
4013000640,5041,3227,637,513,27,414,0,3381,2425,359,270,12,274,0,6160,3890,1141,561,176,476,42,4211,2730,703,341,97,342,22,4211,2730,703,269,265,27,5,26,186
4013000493,1078,8,112,21,972,11,2,645,11,54,33,547,3,0,1147,18,150,30,1077,2,0,751,16,81,15,696,0,0,751,16,81,5,0,631,0,1,17
